Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Date,Min Gap,Clash Action,Spread
,,,,,,,,,,,
EUR-DSCON-OIS,OIS-1M,OG-Ticker,EUR-OIS-1M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1M,,,,
EUR-DSCON-OIS,OIS-2M,OG-Ticker,EUR-OIS-2M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2M,,,,
EUR-DSCON-OIS,OIS-3M,OG-Ticker,EUR-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,,,,
EUR-DSCON-OIS,OIS-6M,OG-Ticker,EUR-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,,,,
EUR-DSCON-OIS,OIS-1Y,OG-Ticker,EUR-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,,,,
EUR-DSCON-OIS,OIS-2Y,OG-Ticker,EUR-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,,,,
EUR-DSCON-OIS,OIS-3Y,OG-Ticker,EUR-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,,,,
EUR-DSCON-OIS,OIS-4Y,OG-Ticker,EUR-OIS-4Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,4Y,,,,
EUR-DSCON-OIS,OIS-5Y,OG-Ticker,EUR-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,,,,
EUR-DSCON-OIS,OIS-7Y,OG-Ticker,EUR-OIS-7Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,7Y,,,,
EUR-DSCON-OIS,OIS-10Y,OG-Ticker,EUR-OIS-10Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y,,,,
EUR-DSCON-OIS,OIS-15Y,OG-Ticker,EUR-OIS-15Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y,,,,
EUR-DSCON-OIS,OIS-20Y,OG-Ticker,EUR-OIS-20Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y,,,,
EUR-DSCON-OIS,OIS-30Y,OG-Ticker,EUR-OIS-30Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y,,,,
,,,,,,,,,,,
EUR-EURIBOR3M-BS,FIX-3M,OG-Ticker,EUR-FIX-EURIBOR3M,MarketValue,FIX,EUR-EURIBOR-3M,,,,,
EUR-EURIBOR3M-BS,FRA-3Mx6M,OG-Ticker,EUR-FRA-3Mx6M,MarketValue,FRA,EUR-EURIBOR-3M,3Mx6M,,,,
EUR-EURIBOR3M-BS,BS-1Y,OG-Ticker,EUR-BS3M6M-1Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,1Y,,,,
EUR-EURIBOR3M-BS,BS-2Y,OG-Ticker,EUR-BS3M6M-2Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,2Y,,,,
EUR-EURIBOR3M-BS,BS-3Y,OG-Ticker,EUR-BS3M6M-3Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,3Y,,,,
EUR-EURIBOR3M-BS,BS-4Y,OG-Ticker,EUR-BS3M6M-4Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,4Y,,,,
EUR-EURIBOR3M-BS,BS-5Y,OG-Ticker,EUR-BS3M6M-5Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,5Y,,,,
EUR-EURIBOR3M-BS,BS-7Y,OG-Ticker,EUR-BS3M6M-7Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,7Y,,,,
EUR-EURIBOR3M-BS,BS-10Y,OG-Ticker,EUR-BS3M6M-10Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,10Y,,,,
EUR-EURIBOR3M-BS,BS-15Y,OG-Ticker,EUR-BS3M6M-15Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,15Y,,,,
EUR-EURIBOR3M-BS,BS-20Y,OG-Ticker,EUR-BS3M6M-20Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,20Y,,,,
EUR-EURIBOR3M-BS,BS-30Y,OG-Ticker,EUR-BS3M6M-30Y,MarketValue,BS3,EUR-FIXED-1Y-EURIBOR-3M-EURIBOR-6M,30Y,,,,
,,,,,,,,,,,
EUR-EURIBOR6M-IRS,FIX-6M,OG-Ticker,EUR-FIX-EURIBOR6M,MarketValue,FIX,EUR-EURIBOR-6M,,,,,
EUR-EURIBOR6M-IRS,FRA-6Mx12M,OG-Ticker,EUR-FRA-6Mx12M,MarketValue,FRA,EUR-EURIBOR-6M,6Mx12M,,,,
EUR-EURIBOR6M-IRS,IRS-2Y,OG-Ticker,EUR-IRS6M-2Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y,,,,
EUR-EURIBOR6M-IRS,IRS-3Y,OG-Ticker,EUR-IRS6M-3Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y,,,,
EUR-EURIBOR6M-IRS,IRS-4Y,OG-Ticker,EUR-IRS6M-4Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,4Y,,,,
EUR-EURIBOR6M-IRS,IRS-5Y,OG-Ticker,EUR-IRS6M-5Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y,,,,
EUR-EURIBOR6M-IRS,IRS-7Y,OG-Ticker,EUR-IRS6M-7Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,7Y,,,,
EUR-EURIBOR6M-IRS,IRS-10Y,OG-Ticker,EUR-IRS6M-10Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y,,,,
EUR-EURIBOR6M-IRS,IRS-15Y,OG-Ticker,EUR-IRS6M-15Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,15Y,,,,
EUR-EURIBOR6M-IRS,IRS-20Y,OG-Ticker,EUR-IRS6M-20Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,20Y,,,,
EUR-EURIBOR6M-IRS,IRS-30Y,OG-Ticker,EUR-IRS6M-30Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,30Y,,,,