Curve Name,Label,Symbology,Ticker,Field Name,Type,Convention,Time,Spread
,,,,,,,,
EUR-DSCON-BIMM,3M,OG-Ticker,EUR-OIS-3M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3M,
EUR-DSCON-BIMM,6M,OG-Ticker,EUR-OIS-6M,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,6M,
EUR-DSCON-BIMM,1Y,OG-Ticker,EUR-OIS-1Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,1Y,
EUR-DSCON-BIMM,2Y,OG-Ticker,EUR-OIS-2Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,2Y,
EUR-DSCON-BIMM,3Y,OG-Ticker,EUR-OIS-3Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,3Y,
EUR-DSCON-BIMM,5Y,OG-Ticker,EUR-OIS-5Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,5Y,
EUR-DSCON-BIMM,10Y,OG-Ticker,EUR-OIS-10Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,10Y,
EUR-DSCON-BIMM,15Y,OG-Ticker,EUR-OIS-15Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,15Y,
EUR-DSCON-BIMM,20Y,OG-Ticker,EUR-OIS-20Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,20Y,
EUR-DSCON-BIMM,30Y,OG-Ticker,EUR-OIS-30Y,MarketValue,OIS,EUR-FIXED-1Y-EONIA-OIS,30Y,
,,,,,,,,
EUR-EURIBOR3M-BIMM,3M,OG-Ticker,EUR-Fixing-3M,MarketValue,FIX,EUR-EURIBOR-3M,,
EUR-EURIBOR3M-BIMM,6M,OG-Ticker,EUR-IRS3M-6M,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,6M,
EUR-EURIBOR3M-BIMM,1Y,OG-Ticker,EUR-IRS3M-1Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,1Y,
EUR-EURIBOR3M-BIMM,2Y,OG-Ticker,EUR-IRS3M-2Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,2Y,
EUR-EURIBOR3M-BIMM,3Y,OG-Ticker,EUR-IRS3M-3Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,3Y,
EUR-EURIBOR3M-BIMM,5Y,OG-Ticker,EUR-IRS3M-5Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,5Y,
EUR-EURIBOR3M-BIMM,10Y,OG-Ticker,EUR-IRS3M-10Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,10Y,
EUR-EURIBOR3M-BIMM,15Y,OG-Ticker,EUR-IRS3M-15Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,15Y,
EUR-EURIBOR3M-BIMM,20Y,OG-Ticker,EUR-IRS3M-20Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,20Y,
EUR-EURIBOR3M-BIMM,30Y,OG-Ticker,EUR-IRS3M-30Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-3M,30Y,
,,,,,,,,
EUR-EURIBOR6M-BIMM,6M,OG-Ticker,EUR-Fixing-6M,MarketValue,FIX,EUR-EURIBOR-6M,,
EUR-EURIBOR6M-BIMM,1Y,OG-Ticker,EUR-IRS6M-1Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,1Y,
EUR-EURIBOR6M-BIMM,2Y,OG-Ticker,EUR-IRS6M-2Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,2Y,
EUR-EURIBOR6M-BIMM,3Y,OG-Ticker,EUR-IRS6M-3Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,3Y,
EUR-EURIBOR6M-BIMM,5Y,OG-Ticker,EUR-IRS6M-5Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,5Y,
EUR-EURIBOR6M-BIMM,10Y,OG-Ticker,EUR-IRS6M-10Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,10Y,
EUR-EURIBOR6M-BIMM,15Y,OG-Ticker,EUR-IRS6M-15Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,15Y,
EUR-EURIBOR6M-BIMM,20Y,OG-Ticker,EUR-IRS6M-20Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,20Y,
EUR-EURIBOR6M-BIMM,30Y,OG-Ticker,EUR-IRS6M-30Y,MarketValue,IRS,EUR-FIXED-1Y-EURIBOR-6M,30Y,